cellIndex,gene_name,unsplice,splice,unsplice_predict,splice_predict,alpha,beta,gamma,loss,cellID,clusters,embedding1,embedding2
11,Myo1b,0.039562326,0.29040217,0.08195442,0.26473418,0.11077027,0.65683913,0.2662586,0.1302785724401474,cell_469,Haematoendothelial progenitors,-1.2270919,13.523273
12,Myo1b,0.0,0.0091288565,0.06853384,0.008022676,0.13706768,0.62382317,0.24234812,0.1302785724401474,cell_484,Blood progenitors 2,4.5887065,15.27471
13,Myo1b,0.02129344,0.24672225,0.07219624,0.2214175,0.11566902,0.65106535,0.26131782,0.1302785724401474,cell_495,Blood progenitors 1,-0.48069707,13.890897
14,Myo1b,0.008881973,0.036557734,0.07315058,0.03490683,0.13413271,0.6299831,0.24337676,0.1302785724401474,cell_498,Blood progenitors 2,4.1802216,15.52723
15,Myo1b,0.010658339,0.09576025,0.07208331,0.08734428,0.12963538,0.636631,0.24663018,0.1302785724401474,cell_512,Blood progenitors 1,1.2603382,13.762751
16,Myo1b,0.028199937,0.13305931,0.08154545,0.12558764,0.12489482,0.6455261,0.24911532,0.1302785724401474,cell_515,Haematoendothelial progenitors,-0.21351792,12.055216
17,Myo1b,0.026970495,0.08454728,0.08261931,0.082806826,0.1285885,0.6411031,0.24568243,0.1302785724401474,cell_519,Blood progenitors 2,3.6039293,15.171106
18,Myo1b,0.010175427,0.07245133,0.072673894,0.06679545,0.1314497,0.63415223,0.24519251,0.1302785724401474,cell_525,Blood progenitors 2,3.2479982,15.188369
19,Myo1b,0.0,0.007140906,0.06859999,0.006275924,0.13719998,0.6235996,0.24226125,0.1302785724401474,cell_539,Blood progenitors 2,4.6666465,15.297965
20,Myo1b,0.08041522,0.14123613,0.113517255,0.15019162,0.11930255,0.6603039,0.24913952,0.1302785724401474,cell_549,Haematoendothelial progenitors,-1.4896717,13.161182
21,Myo1b,0.0093262,0.009505504,0.07437249,0.011278023,0.13593994,0.6269807,0.24220808,0.1302785724401474,cell_592,Erythroid1,6.1703773,12.916482
22,Myo1b,0.027430914,0.14751957,0.080523506,0.13791549,0.12391152,0.64621735,0.25037006,0.1302785724401474,cell_609,Blood progenitors 1,0.29096687,12.841044
23,Myo1b,0.053145073,0.16322294,0.09566515,0.16017848,0.11991192,0.6561617,0.25094935,0.1302785724401474,cell_625,Haematoendothelial progenitors,-1.1376458,11.791688
24,Myo1b,0.0,0.032783035,0.06772028,0.028793978,0.13544056,0.626526,0.24336112,0.1302785724401474,cell_642,Blood progenitors 2,2.6824322,14.851341
25,Myo1b,0.0,0.02900191,0.06785525,0.025475215,0.1357105,0.62609243,0.2432043,0.1302785724401474,cell_691,Blood progenitors 2,3.347489,14.644916
26,Myo1b,0.0,0.016484652,0.06828762,0.014484481,0.13657524,0.6246574,0.2426707,0.1302785724401474,cell_698,Blood progenitors 2,4.785469,15.368927
27,Myo1b,0.0,0.0067427005,0.06861275,0.00592601,0.1372255,0.62355685,0.24224426,0.1302785724401474,cell_709,Blood progenitors 2,3.3761656,14.738222
28,Myo1b,0.0,0.025278356,0.06798914,0.022206377,0.13597828,0.6256575,0.24305212,0.1302785724401474,cell_710,Blood progenitors 2,2.6980965,14.968321
29,Myo1b,0.026221309,0.042279307,0.08403449,0.045449115,0.13226607,0.6345873,0.24362026,0.1302785724401474,cell_712,Blood progenitors 2,3.6071217,15.426038
30,Myo1b,0.0138329435,0.07223268,0.074974686,0.06777347,0.1310714,0.63528883,0.2451292,0.1302785724401474,cell_716,Blood progenitors 2,2.2902646,15.238343
31,Myo1b,0.0,0.05144219,0.06702216,0.045161348,0.13404432,0.62878394,0.24419037,0.1302785724401474,cell_737,Blood progenitors 2,2.2873588,14.877995
32,Myo1b,0.02899312,0.07898633,0.08412791,0.07858566,0.12885104,0.6408921,0.24539441,0.1302785724401474,cell_750,Blood progenitors 1,1.2861465,13.600397
33,Myo1b,0.0,0.031649534,0.06775473,0.027799012,0.13550946,0.6264128,0.24332245,0.1302785724401474,cell_761,Blood progenitors 2,3.275327,14.814805
34,Myo1b,0.030038754,0.12210683,0.08307077,0.1166504,0.12545405,0.6455003,0.24816692,0.1302785724401474,cell_771,Blood progenitors 1,1.0703467,14.045086
35,Myo1b,0.008868906,0.09607137,0.07091289,0.08704277,0.12973095,0.63626575,0.24669349,0.1302785724401474,cell_811,Blood progenitors 2,2.5953116,15.158819
36,Myo1b,0.031125067,0.10941978,0.084265046,0.105932824,0.1263471,0.64472604,0.24713126,0.1302785724401474,cell_821,Blood progenitors 1,0.18885596,12.7456045
37,Myo1b,0.008622995,0.06408347,0.07199378,0.058968727,0.13219829,0.6328104,0.2447778,0.1302785724401474,cell_846,Blood progenitors 2,3.11563,15.486095
38,Myo1b,0.12377726,0.23845237,0.1347986,0.25031844,0.10671502,0.6840703,0.25556552,0.1302785724401474,cell_876,Haematoendothelial progenitors,-1.4966724,11.580164
39,Myo1b,0.014800176,0.08172044,0.07518256,0.07639719,0.13019022,0.6368484,0.24561758,0.1302785724401474,cell_890,Blood progenitors 2,2.5863788,15.082234
40,Myo1b,0.024606476,0.093636274,0.08077952,0.08999838,0.12812796,0.6413707,0.24624717,0.1302785724401474,cell_896,Blood progenitors 2,2.2362647,14.65067
41,Myo1b,0.020334564,0.09326862,0.07815313,0.08829001,0.12864931,0.6399036,0.24627116,0.1302785724401474,cell_923,Blood progenitors 2,2.370307,14.891233
42,Myo1b,0.03539087,0.20860389,0.08286382,0.19333114,0.11800529,0.6515629,0.25696975,0.1302785724401474,cell_944,Haematoendothelial progenitors,-1.5413821,10.498334
43,Myo1b,0.079759195,0.26641572,0.10748731,0.25834614,0.10888084,0.6698237,0.26110977,0.1302785724401474,cell_962,Haematoendothelial progenitors,-1.0900587,12.401804
44,Myo1b,0.008588548,0.09946718,0.07060432,0.08991788,0.1294977,0.6364477,0.2469635,0.1302785724401474,cell_994,Blood progenitors 1,1.1253645,13.860634
45,Myo1b,0.0,0.045149423,0.067235455,0.039643347,0.13447091,0.628129,0.24390464,0.1302785724401474,cell_1039,Blood progenitors 2,3.4000697,15.212458
46,Myo1b,0.060647447,0.20936623,0.09829028,0.20270766,0.11539536,0.6613581,0.25518358,0.1302785724401474,cell_1121,Haematoendothelial progenitors,-1.5859138,11.635719
47,Myo1b,0.009986994,0.083900645,0.0722098,0.076760426,0.13078663,0.6349287,0.24578428,0.1302785724401474,cell_1129,Blood progenitors 2,2.1050754,14.580759
48,Myo1b,0.085962765,0.19214672,0.1143285,0.19664848,0.11423391,0.6689225,0.25240552,0.1302785724401474,cell_1135,Haematoendothelial progenitors,-1.7424487,11.168834
49,Myo1b,0.002557494,0.07315289,0.06785706,0.06498882,0.13221519,0.631892,0.24529712,0.1302785724401474,cell_1138,Blood progenitors 2,1.7439266,14.613751
50,Myo1b,0.01747381,0.046837904,0.078164,0.046667363,0.13245603,0.633844,0.2437503,0.1302785724401474,cell_1167,Blood progenitors 2,2.6881819,15.175978
51,Myo1b,0.022639468,0.1168793,0.07872395,0.10965832,0.12671165,0.64236003,0.24798778,0.1302785724401474,cell_1171,Blood progenitors 1,0.9390753,13.758403
52,Myo1b,0.018247243,0.1207548,0.075882524,0.11160513,0.1269671,0.64100355,0.24840325,0.1302785724401474,cell_1240,Blood progenitors 1,1.659239,14.026544
53,Myo1b,0.0,0.030535728,0.06780705,0.026821636,0.1356141,0.626244,0.24326205,0.1302785724401474,cell_1254,Blood progenitors 2,2.2479737,14.685657
54,Myo1b,0.009716197,0.075892836,0.0722568,0.069663376,0.13124508,0.63439006,0.2453825,0.1302785724401474,cell_1302,Blood progenitors 1,1.1451802,13.885977
55,Myo1b,0.018017441,0.111255616,0.076063395,0.10324315,0.12762812,0.6402801,0.24772806,0.1302785724401474,cell_1319,Blood progenitors 1,0.742093,13.13992
56,Myo1b,0.093438424,0.25208703,0.11625007,0.25102958,0.10864213,0.67444247,0.25837794,0.1302785724401474,cell_1321,Haematoendothelial progenitors,-1.5979456,12.212531
57,Myo1b,0.059252463,0.1825422,0.098619156,0.17901416,0.11778934,0.6591448,0.25261027,0.1302785724401474,cell_1339,Haematoendothelial progenitors,-0.6149268,12.639954
58,Myo1b,0.05239544,0.18389702,0.094390415,0.17787424,0.11842455,0.65720606,0.25275096,0.1302785724401474,cell_1351,Haematoendothelial progenitors,-1.7194833,11.5710535
59,Myo1b,0.008868906,0.10422274,0.07057863,0.09415755,0.1290687,0.6369734,0.24735132,0.1302785724401474,cell_1363,Blood progenitors 1,1.4503862,13.748855
60,Myo1b,0.04601035,0.18607852,0.09043987,0.17758334,0.11899086,0.65489227,0.25323823,0.1302785724401474,cell_1369,Haematoendothelial progenitors,-0.31028888,12.837719
61,Myo1b,0.08003903,0.23851883,0.10873938,0.23459479,0.110982455,0.6694452,0.25754705,0.1302785724401474,cell_1378,Haematoendothelial progenitors,-1.0802342,12.803373
62,Myo1b,0.0,0.05003062,0.06707039,0.043923713,0.13414077,0.62863094,0.24412677,0.1302785724401474,cell_1409,Blood progenitors 2,2.642194,14.97928
63,Myo1b,0.03370297,0.16243918,0.083784774,0.15294236,0.122044325,0.6492223,0.2516287,0.1302785724401474,cell_1422,Haematoendothelial progenitors,-1.5460688,11.371994
64,Myo1b,0.031846777,0.158954,0.082760416,0.14930828,0.12248238,0.6485776,0.25130874,0.1302785724401474,cell_1433,Haematoendothelial progenitors,-0.45629174,12.036516
65,Myo1b,0.06079009,0.13144287,0.10174816,0.13504374,0.12174744,0.6552269,0.24824157,0.1302785724401474,cell_1441,Haematoendothelial progenitors,-0.34609124,12.399329
66,Myo1b,0.015192199,0.119768456,0.073928684,0.10975607,0.12720113,0.6403384,0.24842033,0.1302785724401474,cell_2687,Blood progenitors 1,0.796032,13.47341
67,Myo1b,0.010080329,0.027750487,0.074252956,0.027550163,0.13468759,0.62917876,0.2429859,0.1302785724401474,cell_2699,Blood progenitors 2,3.508738,15.289691
68,Myo1b,0.036593214,0.1562091,0.08584285,0.14851019,0.12228332,0.64995784,0.2508295,0.1302785724401474,cell_2719,Blood progenitors 1,0.2505366,12.772055
69,Myo1b,0.00826817,0.04820769,0.07235516,0.044935927,0.13339084,0.63095737,0.24395248,0.1302785724401474,cell_2731,Blood progenitors 2,2.982745,14.974464
70,Myo1b,0.0,0.104585126,0.064759254,0.09164967,0.12951851,0.6357313,0.24736716,0.1302785724401474,cell_2739,Blood progenitors 1,1.1660287,13.45044
71,Myo1b,0.06348936,0.28275067,0.09705726,0.26647958,0.10929982,0.6641116,0.26421234,0.1302785724401474,cell_2742,Haematoendothelial progenitors,-1.1714851,12.542689
72,Myo1b,0.010762556,0.1352551,0.07051112,0.12179014,0.12638453,0.6399411,0.2500262,0.1302785724401474,cell_2755,Blood progenitors 1,1.5185797,14.267385
73,Myo1b,0.037022304,0.21692671,0.08355555,0.20104025,0.117218845,0.65237284,0.2578072,0.1302785724401474,cell_2757,Haematoendothelial progenitors,-0.47138605,12.215595
74,Myo1b,0.031789824,0.1617517,0.08260989,0.1517068,0.122257955,0.64856696,0.25166738,0.1302785724401474,cell_2775,Haematoendothelial progenitors,-0.56229454,12.03363
75,Myo1b,0.0,0.093046166,0.06534676,0.08157559,0.13069353,0.6338888,0.24655667,0.1302785724401474,cell_2784,Blood progenitors 2,1.8549864,14.525301
76,Myo1b,0.04126484,0.15092917,0.088936135,0.14547403,0.12220761,0.651039,0.25028488,0.1302785724401474,cell_2798,Haematoendothelial progenitors,-2.337306,10.532167
77,Myo1b,0.039542526,0.2194811,0.08510163,0.20408191,0.116936065,0.6529139,0.25795504,0.1302785724401474,cell_2826,Haematoendothelial progenitors,-1.2234918,10.522909
78,Myo1b,0.0,0.049019404,0.06711951,0.043037232,0.13423902,0.62845623,0.24407367,0.1302785724401474,cell_2838,Blood progenitors 2,2.857403,15.23786
79,Myo1b,0.025068033,0.101234354,0.080821015,0.09679474,0.12760068,0.6420416,0.24669439,0.1302785724401474,cell_2880,Blood progenitors 1,1.0275136,13.323374
80,Myo1b,0.056193918,0.1410217,0.09843017,0.14187127,0.1212937,0.6552523,0.24905422,0.1302785724401474,cell_2894,Haematoendothelial progenitors,-0.19703995,13.188288
81,Myo1b,0.01656359,0.11793744,0.074879244,0.10860213,0.12724005,0.64048564,0.24826182,0.1302785724401474,cell_2896,Blood progenitors 1,1.6196598,13.961031
82,Myo1b,0.08120699,0.07259758,0.11791692,0.08996755,0.12601501,0.6476678,0.24594796,0.1302785724401474,cell_2909,Blood progenitors 1,0.0049931738,12.779987
83,Myo1b,0.046514146,0.08049143,0.095111646,0.08560917,0.12719887,0.6450484,0.24559623,0.1302785724401474,cell_2934,Haematoendothelial progenitors,0.32263076,12.934693
84,Myo1b,0.09937314,0.21129419,0.12152828,0.21798664,0.11132793,0.6744041,0.25382966,0.1302785724401474,cell_3013,Haematoendothelial progenitors,-1.5715318,10.199528
85,Myo1b,0.031438913,0.0824475,0.08553247,0.08241486,0.12836806,0.6419102,0.24556525,0.1302785724401474,cell_3014,Blood progenitors 1,0.4142498,12.924536
86,Myo1b,0.014241863,0.11088909,0.07371963,0.10170134,0.12805648,0.6390282,0.24778315,0.1302785724401474,cell_3027,Blood progenitors 1,0.49156642,13.286925
87,Myo1b,0.002131245,0.037894614,0.0688955,0.033948973,0.13486633,0.6277183,0.24354668,0.1302785724401474,cell_3042,Blood progenitors 2,2.5357528,15.087854
88,Myo1b,0.050141346,0.17593826,0.09332591,0.17020169,0.11926103,0.6559832,0.25216258,0.1302785724401474,cell_3044,Blood progenitors 1,0.0809876,13.109709
89,Myo1b,0.06528874,0.2049098,0.10127455,0.2004599,0.115237996,0.66269267,0.25458115,0.1302785724401474,cell_3051,Haematoendothelial progenitors,-0.43691206,12.438899
90,Myo1b,0.04159497,0.17164646,0.08816642,0.16360554,0.1203188,0.65334576,0.25201645,0.1302785724401474,cell_3090,Haematoendothelial progenitors,-0.64382285,11.655444
91,Myo1b,0.019431747,0.0,0.08099363,0.006114303,0.13535237,0.62931067,0.24164595,0.1302785724401474,cell_3099,Blood progenitors 2,3.9779074,15.29106
92,Myo1b,0.024361711,0.12723504,0.079285,0.11924835,0.12553905,0.6441447,0.24887677,0.1302785724401474,cell_3102,Blood progenitors 1,0.80484897,13.518518
93,Myo1b,0.0087828,0.037117988,0.07307449,0.03536725,0.1341164,0.6299849,0.24339977,0.1302785724401474,cell_3155,Blood progenitors 2,4.378514,15.398162
94,Myo1b,0.012803964,0.0752638,0.074172884,0.07010022,0.13087474,0.6354976,0.24532455,0.1302785724401474,cell_3164,Blood progenitors 2,2.445503,15.0486145
95,Myo1b,0.017760456,0.08503074,0.07688528,0.080249205,0.12958483,0.63822556,0.24577296,0.1302785724401474,cell_3186,Blood progenitors 1,1.1042272,13.397799
96,Myo1b,0.0065552783,0.11013305,0.06885118,0.0985776,0.1287683,0.63711935,0.24776748,0.1302785724401474,cell_3190,Blood progenitors 1,0.7425545,13.044541
97,Myo1b,0.10635941,0.2629318,0.12343854,0.26506627,0.10645787,0.67976695,0.2587389,0.1302785724401474,cell_3201,Haematoendothelial progenitors,-1.165059,12.627795
98,Myo1b,0.04487053,0.18052945,0.089891866,0.17239456,0.119409546,0.65448046,0.25279337,0.1302785724401474,cell_3265,Haematoendothelial progenitors,-1.7924446,10.934678
99,Myo1b,0.014322554,0.03742879,0.076510675,0.037398797,0.13342604,0.6318569,0.24338986,0.1302785724401474,cell_3273,Blood progenitors 2,3.7554226,15.334596
100,Myo1b,0.010371109,0.0669764,0.072984345,0.06206126,0.1317986,0.63369584,0.24489823,0.1302785724401474,cell_3286,Blood progenitors 2,2.4851234,14.834967
101,Myo1b,0.05730695,0.18555324,0.09728125,0.18097568,0.117710985,0.65894955,0.252852,0.1302785724401474,cell_3355,Haematoendothelial progenitors,-0.8326807,12.135981
102,Myo1b,0.02389634,0.06596885,0.08152545,0.06551491,0.13049363,0.63756204,0.2447108,0.1302785724401474,cell_3358,Blood progenitors 1,1.5232437,14.110041
103,Myo1b,0.01895095,0.12164347,0.07632142,0.11260746,0.1268911,0.64113784,0.24844897,0.1302785724401474,cell_3386,Blood progenitors 1,1.0289887,13.650502
104,Myo1b,0.059313,0.16257572,0.09942667,0.16171631,0.11926684,0.65819466,0.2507037,0.1302785724401474,cell_3418,Haematoendothelial progenitors,-0.7646253,12.11098
105,Myo1b,0.0045827557,0.057069574,0.0696826,0.051539477,0.13309099,0.63090986,0.2444647,0.1302785724401474,cell_3424,Blood progenitors 2,2.1900966,14.891702
106,Myo1b,0.018449368,0.09558493,0.07694588,0.08970579,0.1287877,0.6392993,0.2464086,0.1302785724401474,cell_3425,Blood progenitors 1,1.5241843,14.038996
107,Myo1b,0.05354586,0.151874,0.09634751,0.15043095,0.1206958,0.6553728,0.2500667,0.1302785724401474,cell_3449,Haematoendothelial progenitors,0.34938234,12.884169
108,Myo1b,0.04650208,0.1625095,0.09160188,0.1573139,0.12061603,0.6540877,0.2511093,0.1302785724401474,cell_3462,Haematoendothelial progenitors,-0.3775051,13.691041
109,Myo1b,0.044679314,0.07760359,0.09407514,0.082471676,0.12757647,0.64425355,0.24546085,0.1302785724401474,cell_3480,Blood progenitors 1,0.7304037,13.076694
110,Myo1b,0.0,0.069014356,0.06634065,0.060556494,0.1326813,0.63094735,0.24510445,0.1302785724401474,cell_3508,Blood progenitors 2,2.6306503,15.345493
111,Myo1b,0.039365552,0.14689958,0.08782634,0.14134334,0.12253306,0.6506064,0.24999368,0.1302785724401474,cell_3530,Haematoendothelial progenitors,-0.30009574,12.18299
112,Myo1b,0.09856999,0.25818714,0.119033165,0.2581389,0.10762562,0.6766691,0.2587107,0.1302785724401474,cell_3600,Haematoendothelial progenitors,-1.5796425,11.320108
113,Myo1b,0.0012982202,0.109706245,0.065375514,0.09653112,0.12898105,0.6366139,0.24772261,0.1302785724401474,cell_3601,Blood progenitors 2,1.8772665,14.501451
114,Myo1b,0.010384105,0.1003892,0.07170132,0.09129585,0.12924887,0.63697845,0.24704981,0.1302785724401474,cell_3654,Blood progenitors 1,1.0459995,13.657047
115,Myo1b,0.030274844,0.20122048,0.08002244,0.18523237,0.11914594,0.64907837,0.2565692,0.1302785724401474,cell_3669,Haematoendothelial progenitors,-1.5468593,10.889041
116,Myo1b,0.022425557,0.14795278,0.07737317,0.1366436,0.12435127,0.6446235,0.25058258,0.1302785724401474,cell_3672,Blood progenitors 1,0.43033227,12.924863
117,Myo1b,0.10914646,0.32635754,0.122533605,0.32005465,0.10121296,0.6820073,0.26671496,0.1302785724401474,cell_3698,Haematoendothelial progenitors,-1.3753368,10.551909
118,Myo1b,0.05046252,0.12445179,0.09550634,0.12548664,0.12301069,0.6524259,0.24791397,0.1302785724401474,cell_3726,Haematoendothelial progenitors,-1.0015427,11.777729
119,Myo1b,0.0,0.024787406,0.068004124,0.021775307,0.13600825,0.6256101,0.24303454,0.1302785724401474,cell_3741,Blood progenitors 2,2.246869,14.933331
120,Myo1b,0.014815991,0.07978064,0.0752713,0.07470289,0.13034263,0.6366102,0.24551712,0.1302785724401474,cell_3764,Blood progenitors 2,3.933842,15.412051
121,Myo1b,0.027340405,0.108044,0.08199593,0.10348643,0.12689714,0.6432272,0.24713291,0.1302785724401474,cell_3834,Blood progenitors 1,0.70343757,13.039898
122,Myo1b,0.0,0.030630752,0.06780427,0.026905054,0.13560854,0.62625295,0.24326526,0.1302785724401474,cell_3855,Blood progenitors 2,3.6217048,15.2068
123,Myo1b,0.029528864,0.09655126,0.08379036,0.09415303,0.12750849,0.6429471,0.24631432,0.1302785724401474,cell_3887,Blood progenitors 1,0.9543042,13.285967
124,Myo1b,0.017563485,0.083767526,0.0767956,0.07907999,0.12967154,0.6381028,0.24570829,0.1302785724401474,cell_3891,Blood progenitors 1,1.5472775,13.965887
125,Myo1b,0.027675835,0.1661095,0.07989297,0.15411851,0.12235053,0.64736086,0.2522327,0.1302785724401474,cell_3909,Haematoendothelial progenitors,-0.32876387,13.105651
126,Myo1b,0.0076342756,0.07346758,0.07102917,0.066875935,0.13162634,0.6335308,0.24527615,0.1302785724401474,cell_3915,Blood progenitors 2,1.9075918,14.386589
127,Myo1b,0.042088196,0.14795354,0.08951057,0.14316621,0.122258745,0.6513465,0.25000188,0.1302785724401474,cell_3948,Blood progenitors 1,0.22705534,12.7220745
128,Myo1b,0.04512854,0.20534275,0.088974215,0.19384447,0.11725969,0.6552026,0.25598612,0.1302785724401474,cell_3978,Haematoendothelial progenitors,-1.423894,10.412157
129,Myo1b,0.007490245,0.07053256,0.07103603,0.06425978,0.13183464,0.63323325,0.2451155,0.1302785724401474,cell_3994,Blood progenitors 2,3.425415,15.515567
130,Myo1b,0.017850613,0.08348495,0.07698541,0.07892488,0.12966111,0.63815844,0.24569286,0.1302785724401474,cell_3999,Blood progenitors 1,1.3416952,13.592001
131,Myo1b,0.02900707,0.11981936,0.08252743,0.11431473,0.12574849,0.64493823,0.24801522,0.1302785724401474,cell_4074,Blood progenitors 1,1.1777654,13.780198
132,Myo1b,0.033959836,0.13721952,0.08492485,0.13111907,0.12393321,0.6479182,0.24926548,0.1302785724401474,cell_4087,Haematoendothelial progenitors,-1.7322538,11.191037
133,Myo1b,0.013339339,0.118156835,0.07281807,0.10775378,0.12749097,0.6397243,0.24831064,0.1302785724401474,cell_4097,Blood progenitors 1,0.26604685,12.900246
134,Myo1b,0.014098361,0.13016051,0.07282184,0.11843653,0.12647732,0.640526,0.2495252,0.1302785724401474,cell_4128,Blood progenitors 1,0.5777951,13.262441
135,Myo1b,0.0851349,0.17730214,0.114289835,0.18345575,0.11517998,0.668,0.2513387,0.1302785724401474,cell_4129,Haematoendothelial progenitors,-1.0998389,12.249511
136,Myo1b,0.032049134,0.1258364,0.08421547,0.12055325,0.12503892,0.64607847,0.24851762,0.1302785724401474,cell_4150,Haematoendothelial progenitors,-2.4615726,10.855355
137,Myo1b,0.0,0.096587405,0.065206006,0.08467085,0.13041201,0.63432497,0.24675177,0.1302785724401474,cell_4151,Blood progenitors 1,0.93968666,13.424833
138,Myo1b,0.054132298,0.121351756,0.09788594,0.12399405,0.12285796,0.6530424,0.24775983,0.1302785724401474,cell_4155,Haematoendothelial progenitors,-0.1979393,12.688259
139,Myo1b,0.030295512,0.14731018,0.082268946,0.13867691,0.12355605,0.64726365,0.25032708,0.1302785724401474,cell_4158,Haematoendothelial progenitors,-0.49914286,11.905139
140,Myo1b,0.020218886,0.12668139,0.076810926,0.117408775,0.12617177,0.6423544,0.24891512,0.1302785724401474,cell_4165,Blood progenitors 1,0.99376,13.4870615
141,Myo1b,0.026522364,0.101332664,0.081715375,0.09735477,0.1274274,0.6425288,0.24668425,0.1302785724401474,cell_4198,Haematoendothelial progenitors,-0.62832636,12.766055
142,Myo1b,0.14642593,0.26658517,0.14708108,0.28285572,0.10259453,0.69170976,0.25786567,0.1302785724401474,cell_4284,Haematoendothelial progenitors,-1.3973857,12.651459
143,Myo1b,0.086140946,0.18398872,0.11474116,0.18962759,0.11478784,0.6685254,0.25169852,0.1302785724401474,cell_4311,Haematoendothelial progenitors,-0.019530514,12.796943
144,Myo1b,0.0054380824,0.12688544,0.067194976,0.11280291,0.12699068,0.63935906,0.24937417,0.1302785724401474,cell_4321,Haematoendothelial progenitors,0.18967786,13.035572
145,Myo1b,0.078240864,0.1345599,0.11245464,0.14360245,0.119989485,0.65901536,0.24878761,0.1302785724401474,cell_4336,Haematoendothelial progenitors,-0.37106875,13.1359
146,Myo1b,0.00189444,0.07270668,0.06746008,0.06438849,0.13232787,0.6316266,0.24527246,0.1302785724401474,cell_4344,Blood progenitors 2,2.0166585,14.343156
147,Myo1b,0.018887844,0.06952085,0.07827831,0.067017466,0.13080086,0.6363842,0.24491496,0.1302785724401474,cell_4346,Blood progenitors 2,2.969603,15.06073
148,Myo1b,0.05748233,0.21232764,0.096233904,0.20416492,0.1154657,0.660421,0.25568017,0.1302785724401474,cell_4361,Haematoendothelial progenitors,-1.2923964,11.869814
149,Myo1b,0.062388383,0.25887215,0.09727313,0.24574417,0.111159995,0.6634327,0.26131225,0.1302785724401474,cell_4383,Haematoendothelial progenitors,-1.6988382,9.487115
150,Myo1b,0.015478734,0.086654685,0.075344175,0.08093711,0.12960516,0.6379252,0.24591206,0.1302785724401474,cell_4419,Blood progenitors 1,1.4149213,13.776846
151,Myo1b,0.015641479,0.11156326,0.07453521,0.10274507,0.12779409,0.63974875,0.24777856,0.1302785724401474,cell_4420,Blood progenitors 1,1.3805443,13.651064
152,Myo1b,0.0021673678,0.10506848,0.06616709,0.09275908,0.1293779,0.6360067,0.24743167,0.1302785724401474,cell_4433,Blood progenitors 1,0.38883469,13.009237
153,Myo1b,0.029356875,0.12634853,0.082469866,0.1201116,0.12517394,0.64543504,0.24869159,0.1302785724401474,cell_4440,Haematoendothelial progenitors,-0.0030033519,12.725213
154,Myo1b,0.09364887,0.24495552,0.11664364,0.24497536,0.10913415,0.67427003,0.2576181,0.1302785724401474,cell_4493,Haematoendothelial progenitors,-1.6505704,10.860393
155,Myo1b,0.03539577,0.15945485,0.084952645,0.1509317,0.12211633,0.649868,0.25116125,0.1302785724401474,cell_4505,Blood progenitors 1,0.20804423,13.045893
156,Myo1b,0.10315115,0.26460832,0.12147848,0.26534536,0.10666992,0.67876375,0.25902873,0.1302785724401474,cell_4522,Haematoendothelial progenitors,-1.1611595,12.069235
157,Myo1b,0.013692163,0.039134186,0.076069176,0.038696267,0.13340504,0.63182247,0.24344082,0.1302785724401474,cell_4531,Blood progenitors 2,2.8864625,15.248515
158,Myo1b,0.019125693,0.14133582,0.07557503,0.12979944,0.12519385,0.6428616,0.25024033,0.1302785724401474,cell_4625,Blood progenitors 1,1.0779524,13.773123
159,Myo1b,0.056444336,0.28116402,0.09287044,0.26259226,0.11015731,0.66091853,0.2647873,0.1302785724401474,cell_4664,Haematoendothelial progenitors,-1.6459208,9.708512
